;UniqueOPID;LatitudeEpsg4326;LongitudeEpsg4326;Name;OPTafTapCode;Country;ValidityDateStart;ValidityDateEnd;IsCurrentlyValid
16205;BEBA824;50.663889;4.372611;Braine-Alliance-CDS824;BE02127;Belgium;2022-04-11 00:00:00+02:00;2078-12-31 00:00:00+01:00;Valid
16286;BEFBA;50.669416;4.373397;Braine-Alliance;BE02126;Belgium;2022-04-11 00:00:00+02:00;2078-12-31 00:00:00+01:00;Valid
16287;BEFBAC;50.664822;4.372629;Braine-Alliance-Gril C;BE02125;Belgium;2022-04-11 00:00:00+02:00;2078-12-31 00:00:00+01:00;Valid
18280;BEMGRL;50.60788;5.605883;Angleur-C.L.I.;BE02129;Belgium;2022-06-12 00:00:00+02:00;2078-12-31 00:00:00+01:00;Valid
18848;BEYSTBG;51.148406;3.27303;Y.Stuyvenberg;BE02124;Belgium;2022-04-11 00:00:00+02:00;2078-12-31 00:00:00+01:00;Valid
7901;BG11001;42.9941;22.8431;KALOTINA-ZAPAD;BG11001;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7900;BG11002;42.9802;22.8516;KALOTINA;BG11002;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7895;BG11006;42.922;22.9319;DRAGOMAN;BG11006;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7894;BG11010;42.8792;22.9876;ALDOMIROVCI;BG11010;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7889;BG11012;42.8495;23.056;SLIVNICA;BG11012;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7884;BG11013;42.8276;23.1218;PETARCH;BG11013;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7868;BG11015;42.8071;23.1997;KOSTINBROD;BG11015;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6463;BG11020;42.7546;23.2448;VOLUYAK;BG11020;Bulgaria;2015-06-11 00:00:00+02:00;2020-12-10 00:00:00+01:00;Invalid
8211;BG11110;42.8743;22.8619;BELI BREG;BG11110;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8219;BG11210;42.7059;23.1511;BANKYA;BG11210;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8205;BG11701;43.0463;22.9215;STANYANTSI;BG11701;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7212;BG14000;42.0549;25.5936;DIMITROVGRAD;BG14000;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7440;BG14004;42.0167;25.7261;NOVA NADEJDA;BG14004;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7444;BG14010;42.0252;25.844;SIMEONOVGRAD;BG14010;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7455;BG14013;41.9227;25.9239;HARMANLI;BG14013;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7461;BG14015;41.8515;26.0737;LJUBIMEC;BG14015;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7794;BG14020;41.7745;26.1442;SVILENGRAD;BG14020;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6506;BG16000;42.7122;23.3212;SOFIA;BG16000;Bulgaria;2015-04-17 00:00:00+02:00;2020-12-10 00:00:00+01:00;Invalid
7681;BG16001;42.698;23.3545;PODUJANE-PATNICHESKA;BG16001;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
8203;BG16003;42.6888;23.3759;PODUYANE;BG16003;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7688;BG16005;42.6646;23.4127;ISKAR;BG16005;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7703;BG16010;42.6525;23.4697;KAZICHENE;BG16010;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7709;BG16012;42.6282;23.5788;ELIN PELIN;BG16012;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7715;BG16020;42.5565;23.7075;VAKAREL;BG16020;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7719;BG16022;42.4958;23.7691;VERINSKO;BG16022;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7724;BG16024;42.4296;23.7988;IHTIMAN;BG16024;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7744;BG16030;42.308;23.8601;KOSTENEC;BG16030;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7753;BG16034;42.2155;24.0184;BELOVO;BG16034;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7757;BG16040;42.2044;24.1322;SEPTEMVRI;BG16040;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
8030;BG16043;42.17;24.3208;PAZARDZHIK;BG16043;Bulgaria;2017-05-15 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8040;BG16045;42.1384;24.4167;OGNJANOVO;BG16045;Bulgaria;2017-05-15 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7904;BG16050;42.133;24.5364;STAMBOLIJSKI;BG16050;Bulgaria;2017-05-15 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7911;BG16052;42.1261;24.6389;TODOR KABLESHKOV;BG16052;Bulgaria;2017-05-15 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8216;BG16310;42.5468;23.606;CHUKUROVO;BG16310;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5957;BG16501;42.0952;24.4919;RP KURTOVO KONARE;BG16501;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5960;BG16505;42.0378;24.3616;BRATSIGOVO;BG16505;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5969;BG16510;42.0344;24.3124;PESHTERA;BG16510;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5709;BG16906;42.7301;23.3478;RP BIRIMIRCI;BG16906;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8107;BG16908;42.6904;23.5344;RP MUSACHEVO;BG16908;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5707;BG16909;42.7519;23.5295;OBEDINENA;BG16909;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8221;BG16911;42.7028;23.3404;SOFIA TOVARNA;BG16911;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7844;BG18000;42.1344;24.7414;PLOVDIV;BG18000;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
8048;BG18001;42.0933;24.8186;KRUMOVO;BG18001;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8056;BG18002;42.1016;24.8757;KATUNICA;BG18002;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
8064;BG18005;42.1385;25.0606;POPOVICA;BG18005;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7418;BG18010;42.1003;25.224;PARVOMAJ;BG18010;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7425;BG18011;42.1024;25.3209;KARADZHALOVO;BG18011;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7431;BG18014;42.0761;25.4468;YABALKOVO;BG18014;Bulgaria;2017-05-22 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
5947;BG18610;42.0144;24.8691;ASENOVGRAD;BG18610;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
7862;BG18901;42.1332;24.8008;TRAKIJA;BG18901;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
7676;BG18902;42.1272;24.7652;PLOVDIV RAZPREDELITELNA;BG18902;Bulgaria;2016-12-10 00:00:00+01:00;2020-10-01 00:00:00+02:00;Invalid
6128;BG23000;42.7513;23.3266;ILIYANTSI;BG23000;Bulgaria;2016-05-16 00:00:00+02:00;2020-12-10 00:00:00+01:00;Invalid
6540;BG23002;42.8182;23.3565;KURILO;BG23002;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
6550;BG23006;42.899;23.3885;REBROVO;BG23006;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
6553;BG23010;42.9601;23.3494;SVOGE;BG23010;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
6565;BG23013;43.0219;23.3516;BOV;BG23013;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
6583;BG23015;43.0824;23.3786;LAKATNIK;BG23015;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
6589;BG23020;43.0822;23.5055;ELISEYNA;BG23020;Bulgaria;2016-04-27 00:00:00+02:00;2020-12-10 00:00:00+01:00;Invalid
6595;BG23022;43.0811;23.5713;ZVERINO;BG23022;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
6600;BG23027;43.1315;23.7041;MEZDRA YUG;BG23027;Bulgaria;2015-06-08 00:00:00+02:00;2020-11-01 00:00:00+01:00;Invalid
8108;BG23900;42.7418;23.3171;RP POST 4;BG23900;Bulgaria;2015-10-01 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
6953;BG24000;43.1398;25.682;GORNA ORJAHOVICA;BG24000;Bulgaria;2016-10-26 00:00:00+02:00;2020-10-01 00:00:00+02:00;Invalid
