;UniqueOPID;LatitudeEpsg4326;LongitudeEpsg4326;Name;OPTafTapCode;Country;ValidityDateStart;ValidityDateEnd;IsCurrentlyValid
1789;ATCCG;46.9375403;15.4680974;Terminal Graz Süd;AT05385;AT;2021-12-22 23:00:00+00:00;2099-12-30 23:00:00+00:00;Valid
1732;ATCCGüber;46.9453;15.4739;Übergabebahnhof CCG;AT05385;AT;2021-12-22 23:00:00+00:00;2099-12-30 23:00:00+00:00;Valid
760;ATDlrABWCT;48.1825434;16.46577;Wien Freudenau Hafen – WienCont Container Terminal;AT05178;AT;2021-12-22 23:00:00+00:00;2099-12-30 23:00:00+00:00;Valid
42773;CH00229;47.1955;7.6647;Inkwil;CH00229;CH;2014-09-02 22:00:00+00:00;;Valid
4417;CH02307;47.3406;8.4646;Filderen (Agl);CH02307;CH;2019-12-05 23:00:00+00:00;;Valid
4551;CH03131;47.3248;8.8343;Ettenhausen-Emmetschloo;CH03131;CH;2014-09-02 22:00:00+00:00;;Valid
4553;CH03132;47.3373;8.8522;Bäretswil;CH03132;CH;2014-09-02 22:00:00+00:00;;Valid
4549;CH03133;47.3579;8.8644;Neuthal;CH03133;CH;2008-12-31 23:00:00+00:00;;Valid
4552;CH03336;47.3349;8.8446;Bäretswil Tobel (Agl);CH03336;CH;2014-09-02 22:00:00+00:00;;Valid
4638;CH03461;47.7455;8.7044;Thayngen;CH03461;CH;2008-12-31 23:00:00+00:00;;Valid
4637;CH03462;47.7172;8.6646;Herblingen;CH03462;CH;2008-12-31 23:00:00+00:00;;Valid
4371;CH03541;47.5608;8.252;Beznau (Agl);CH03541;CH;2019-12-05 23:00:00+00:00;;Valid
42604;CH05240;46.5682;8.5984;Gottardo Sud (c bin);CH05240;CH;2014-09-02 22:00:00+00:00;;Valid
4115;CH05403;46.1729;8.8987;Riazzino-Cugnasco;CH05403;CH;2019-12-05 23:00:00+00:00;;Valid
42774;CH06345;47.4597;9.4041;Engwil (Verzw);CH06345;CH;2014-09-02 22:00:00+00:00;;Valid
4666;CH15442;47.7456;8.7273;Eulach Landesgrenze;CH15442;CH;2008-12-31 23:00:00+00:00;;Valid
4908;CH15452;47.1645;9.4907;Landesgrenze CH-Liechtenstein;CH15452;CH;2019-12-05 23:00:00+00:00;;Valid
